ti;ill;tam;m;ev;m_tam
tip;strong;IMP;thought;yes;PC.PST
tip;medium;PC.PST;thought;yes;PC.PST
tip;medium;PC.PST;thought;yes;PC.PST
tip;medium;PC.PST;thought;yes;PC.PST
tip;low;PC.PST;thought;yes;PC.PST
tip;strong;POT;thought;yes;PC.PST
tip;medium;PRS;thought;yes;PC.PST
tip;medium;PRS;thought;yes;PC.PST
tip;low;PRS;thought;yes;PC.PST
tip;low;PC.PST;thought;yes;PC.PST
tip;low;PC.PST;thought;yes;PC.PST
tip;strong;PC.PST;thought;yes;PC.PST
tigän;medium;IMP;thought;yes;PC.PST
tigän;medium;PRS;thought;yes;PC.PST
tip;strong;PST;thought;no;PRS
tip;strong;PC.PST;thought;no;PRS
tigän;strong;PST;thought;no;0
tip;low;non-verbal;speech;yes;PC.PST
tip;medium;PC.PST;speech;yes;PC.PST
tip;low;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;strong;PRS;speech;yes;PC.PST
tip;medium;non-verbal;speech;yes;PC.PST
tip;low;PC.PST;speech;yes;PC.PST
tip;low;PC.PST;speech;yes;PC.PST
tip;low;PRS;speech;yes;PC.PST
tip;strong;PRS;speech;yes;PC.PST
tip;low;PRS;speech;yes;PC.PST
tip;strong;IMP;speech;yes;PRS
tip;strong;IMP;speech;yes;non-verbal
tip;strong;IMP;speech;yes;PST
tip;medium;PRS;speech;yes;PC.PST
tip;strong;IMP;speech;yes;PC.PST
tip;medium;PC.PST;speech;yes;PC.PST
tip;low;PC.PST;speech;yes;PC.PST
tip;medium;PC.PST;speech;yes;PC.PST
tip;low;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;medium;PRS;speech;yes;PC.PST
tip;low;PST;speech;yes;PC.PST
tip;low;PST;speech;yes;PC.PST
tip;low;non-verbal;speech;yes;PC.PST
tip;medium;non-verbal;speech;yes;PC.PST
tip;medium;non-verbal;speech;yes;PRS
tip;low;non-verbal;speech;yes;PRS
tip;strong;non-verbal;speech;no;PRS
tip;strong;IMP;speech;no;PRS
tigän;strong;IMP;speech;no;PRS
tigän;strong;IMP;speech;no;PRS
tigän;strong;IMP;speech;no;PRS
tigän;strong;IMP;speech;no;PRS
tigän;medium;PRS;speech;no;PRS
tigän;medium;PRS;speech;no;CV
tigän;low;PRS;speech;yes;PC.PST
tigän;strong;PRS;speech;yes;PC.PST
tigän;strong;PRS;speech;yes;PC.PST
tigän;strong;PC.PST;speech;yes;PC.PST
tigän;strong;PST;speech;yes;PC.PST
tigän;medium;PST;speech;yes;PC.PST
tigän;strong;PRS;speech;yes;PC.PST
tip;medium;POT;speech;yes;PC.PST
tip;medium;IMP;speech;yes;PC.PST
tip;low;PST;speech;yes;PRS
tip;strong;IMP;speech;yes;PRS
tip;strong;IMP;speech;yes;PRS
tip;medium;PRS;speech;yes;PRS
tip;medium;PRS;speech;yes;PRS
tip;strong;non-verbal;speech;yes;PRS
tip;strong;IMP;speech;yes;PRS
tip;medium;PRS;speech;yes;PRS
tigän;strong;IMP;speech;yes;PRS
tip;strong;PRS;speech;yes;PC.PST
tip;strong;PRS;speech;yes;PC.PST
tip;strong;non-verbal;speech;yes;PRS
tip;strong;PC.PST;speech;yes;non-verbal
tip;strong;PRS;speech;yes;COND
tip;strong;non-verbal;speech;yes;0
tip;strong;non-verbal;speech;yes;0
tigän;strong;PRS;speech;yes;0
tip;strong;PC.PST;speech;yes;0
tip;strong;IMP;speech;yes;0
tip;low;PC.PST;speech;yes;0
tip;low;PST;speech;yes;0
tip;low;PRS;speech;yes;PC.PST
tip;medium;PST;speech;yes;PC.PST
tip;low;PST;speech;no;non-verbal
tip;low;PRS;speech;no;non-verbal
tip;strong;PRS;speech;no;0
tip;low;PST;speech;yes;non-verbal
tigän;strong;non-verbal;speech;no;COND
tip;strong;non-verbal;speech;no;CV.ANT
tip;strong;IMP;motion;yes;PRS
tip;medium;non-verbal;motion;yes;PRS
tigän;low;POT;motion;yes;PRS
tip;strong;IMP;motion;yes;PRS
tip;strong;IMP;motion;yes;PRS
tip;medium;PST;motion;yes;PRS
tip;strong;IMP;motion;yes;PRS
tip;strong;IMP;motion;yes;PRS
tip;low;PST;motion;no;0
tip;low;non-verbal;motion;no;0
tip;medium;POT;motion;no;0
tip;strong;PST;motion;no;0
tip;strong;PRS;motion;no;0
tip;medium;PRS;motion;no;0
tip;medium;PST;motion;no;0
tip;low;PC.PST;motion;no;0
tip;medium;PRS;motion;no;0
tigän;medium;PST;motion;no;0
tip;medium;non-verbal;motion;no;0
tip;medium;IMP;motion;no;PC.PST
tip;strong;POT;motion;no;PC.PST
tip;low;PRS;motion;no;PC.PST
tip;low;PRS;motion;no;COND
tigän;medium;PRS;motion;no;POT
tigän;strong;PST;motion;no;PST
tigän;medium;PST;motion;no;non-verbal
tigän;strong;POT;motion;no;non-verbal
tigän;low;PST;motion;no;non-verbal
tip;strong;IMP;nominal;yes;PST
tigän;low;PRS;nominal;yes;PC.PST
tigän;strong;PRS;nominal;yes;PC.PST
tigän;strong;POT;nominal;yes;PRS
tigän;low;non-verbal;nominal;yes;PRS
tigän;strong;IMP;nominal;yes;PRS
tigän;strong;IMP;nominal;yes;0
tigän;strong;PRS;nominal;no;PRS
tigän;low;PRS;nominal;no;PRS
tigän;low;PRS;nominal;yes;PC.PST
tigän;strong;PRS;nominal;yes;PC.PST
tigän;medium;PRS;nominal;yes;PC.PST
tigän;low;PC.PST;nominal;yes;PC.PST
tigän;strong;PC.PST;nominal;yes;PC.PST
tigän;strong;PST;nominal;yes;PC.PST
tigän;strong;PST;nominal;yes;PC.PST
tigän;strong;non-verbal;nominal;yes;PC.PST
tigän;low;non-verbal;nominal;yes;PC.PST
tigän;low;non-verbal;nominal;yes;PC.PST
tip;strong;PST;nominal;yes;PC.PST
tip;strong;IMP;nominal;yes;PC.PST
tip;medium;PRS;nominal;yes;PC.PST
tip;strong;PST;nominal;yes;PC.PST
tigän;low;PST;0;no;PC.PST
tigän;strong;IMP;0;no;PC.PST
tigän;medium;PST;0;no;PRS
tigän;low;PST;0;no;non-verbal
tigän;strong;POT;0;no;non-verbal
tigän;strong;POT;0;no;non-verbal
tigän;low;POT;0;no;non-verbal
tigän;low;POT;0;no;non-verbal
tigän;strong;IMP;0;no;non-verbal
tigän;low;PRS;0;no;non-verbal
tigän;medium;PRS;0;no;non-verbal
tigän;low;PRS;0;no;non-verbal
tigän;strong;PRS;0;no;non-verbal
tigän;low;PRS;0;no;non-verbal
tigän;low;PRS;0;no;non-verbal
tigän;low;PST;0;no;non-verbal
tigän;low;PST;0;no;non-verbal
tigän;medium;PST;0;no;0
tigän;medium;PST;0;no;0
tigän;strong;POT;0;no;0
tigän;medium;IMP;0;no;0
tigän;strong;IMP;0;no;0
tigän;strong;IMP;0;no;0
tigän;low;PRS;0;no;0
tigän;strong;PRS;0;no;0
tigän;strong;PRS;0;no;0
tigän;strong;PRS;0;no;0
tigän;strong;PRS;0;no;0
tigän;medium;PRS;0;no;0
tigän;low;PRS;0;no;0
tigän;low;PRS;0;no;0
tigän;strong;PRS;0;no;0
tigän;strong;PRS;0;no;0
tigän;strong;PRS;0;no;0
tigän;low;PC.PST;0;no;0
tigän;medium;PST;0;no;0
tigän;strong;PST;0;no;0
tigän;low;PST;0;no;0
tigän;strong;PST;0;no;0
tigän;low;PST;0;no;0
tigän;strong;PST;0;no;0
tigän;low;PST;0;no;0
tigän;low;PST;0;no;0
tigän;low;PST;0;no;0
tigän;low;PST;0;no;0
tigän;low;PST;0;no;0
tigän;low;PST;0;no;0
tigän;low;PST;0;no;0
tigän;medium;PST;0;no;0
tigän;strong;PST;0;no;0
tigän;low;PST;0;no;0
tigän;strong;PST;0;no;0
tigän;low;PST;0;no;0
tigän;low;PST;0;no;0
tigän;strong;POT;0;no;0
tigän;medium;POT;0;no;0
tigän;medium;POT;0;no;0
tigän;medium;POT;0;no;0
tigän;medium;POT;0;no;0
tigän;low;non-verbal;0;no;0
tigän;low;non-verbal;0;no;0
tigän;strong;non-verbal;0;no;0
tigän;strong;non-verbal;0;no;0
tigän;low;non-verbal;0;no;0
tigän;medium;non-verbal;0;no;0
tigän;low;non-verbal;0;no;0
tigän;strong;non-verbal;0;yes;0
tigän;low;non-verbal;0;no;0
tigän;medium;non-verbal;0;no;0
tigän;medium;POT;0;no;PRS
tigän;strong;PST;0;no;PRS
tigän;strong;non-verbal;0;no;PRS
tip;medium;PC.PST;0;no;PRS
